Book_ID	ISBN	Book-Title	Book-Author	Year-Of-Publication	Publisher
1215	1581820542	The Little Book of Big Ideas: Inspiration, Encouragement &amp	 Tips to Stimulate Creativity and Improve Your Life	Harold R. McAlindon	1999
1216	0440224659	Sooner or Later	Elizabeth Adler	1998	Dell Publishing Company
1217	1841492086	The Portable Door	Tom Holt	2004	Orbit Book Co.
1218	0330357190	Loose living	Frank Moorhouse	1995	Picador
1219	1860467776	Jerk on One End: Reflections of a Mediocre Fisherman	Robert Hughes	2000	Harvill Press
1220	0425133540	The Sum of All Fears (Jack Ryan Novels)	Tom Clancy	1996	Berkley Publishing Group
1221	0743469801	Why Girls Are Weird : A Novel	Pamela Ribon	2003	Downtown Press
1222	0590110225	The Mighty	Rodman Philbrick	1998	Scholastic
1223	0835902242	Adventures of Huckleberry Finn	Mark Twain	1992	Globe Fearon
1224	0451199871	The Body in the Library (Miss Marple Mysteries (Paperback))	Agatha Christie	2000	Signet Book
1225	0963144839	Half Life: What We Give Up to Work	Jeannette Batz	1993	Booksource
1226	0064409430	The Magician's Nephew (The Chronicles of Narnia, Book 1, Full-Color Collector's Edition)	C. S. Lewis	2000	HarperTrophy
1227	0531103099	New Zoos (First Book Series)	Madelyn K. Anderson	1987	Scholastic Library Pub
1228	1563521024	You're Not a Kid Anymore When...	Jeff Foxworthy	1993	Longstreet Press
1229	0446527289	The First Counsel	Brad Meltzer	2001	Warner Books
1230	0743457900	Tinker, Tailor, Soldier, Spy	John le Carre	2002	Scribner
1231	0394830148	The Berenstain Bears and Too Much Vacation (First Time Books)	Stan Berenstain	1989	Random House Children's Books
1232	0345384350	Icebound	Dean R. Koontz	1995	Ballantine Books
1233	0060175532	Young Wives	Olivia Goldsmith	2000	HarperCollins Publishers
1234	0811200701	The Berlin Stories: The Last of Mr. Norris and  Goodbye to Berlin (New Directions Book)	Christopher Isherwood	1963	J. Laughlin
1235	0671023373	Man's Search For Meaning	Viktor E. Frankl	1997	Pocket
1236	0679748083	The Kitchen God's Wife (Vintage Contemporaries)	Amy Tan	1993	Vintage Books USA
1237	0830819223	So You Want to Be a Stay-At-Home Mom	Cheryl Gochnauer	1999	InterVarsity Press
1238	0380731851	Mystic River	Dennis Lehane	2002	HarperTorch
1239	0749930721	Hitched	Z. Barnes	1998	Judy Piatkus Publishers Ltd
1240	880781210X	iI Paradiso Degli Orchi	Daniel Pennac	1994	Universale Economica Feltrinelli
1241	1570422826	The Celestine Prophecy : An Experiential Guide	Carol Adrienne	1995	Time Warner Audio Major
1242	0312874995	Escape from Kathmandu	Kim Stanley Robinson	2000	Orb Books
1243	0886771560	The Year's Best Horror Stories: Series XIV	Edward Karl Wagner	1986	New Amer Library (Mm)
1244	8585622032	Bola da vez: Romance policial (ColeÃ§Ã£o Romance policial brasileiro)	Muniz SodrÃ©	1993	Notrya Editora
1245	051748904X	A Treasury of Irish Myth, Legend, and Folklore	Claire Booss	1986	Gramercy Books
1246	0684836491	Apocalypse Wow	James Finn Garner	1997	Simon &amp
1247	0671614460	COPS	Mark Baker	1986	Pocket
1248	0399147357	Dead Sleep	Greg Iles	2001	G. P. Putnam's Sons
1249	0740704532	Random Acts Of Management:A Dilbert Book	Scott Adams	2000	Andrews McMeel Publishing
1250	0312717415	Shock-Trauma	Jon Franklin	1980	St. Martin's Press
1251	0688156126	Jupiter's Bones: A Novel (Peter Decker &amp	 Rina Lazarus Novels (Hardcover))	Faye Kellerman	1999
1252	1552976246	Silent Witness: How Forensic Anthropology Is Used to Solve the World's Toughest Crimes	Roxana Ferllini Timms	2002	Firefly Books Ltd
1253	0553573977	The Hancock Boys	Thomas William Simpson	2000	Bantam Books
1254	0684867583	Dead Reckoning: The New Science of Catching Killers	Michael Baden	2001	Simon &amp
1255	0380796090	Watermelon	Marian Keyes	1999	Avon
1256	0446604666	Sick Puppy	Carl Hiaasen	2001	Warner Vision
1257	0312860951	Reliquary	Douglas Preston	1997	St Martins Pr
1258	0061015725	Prey	Michael Crichton	2003	Avon Books
1259	0593043995	The Visitor (A Jack Reacher Novel)	Lee Child	2000	Transworld Publishers Ltd
1260	0425181200	Dale Brown's Dreamland	Dale Brown	2001	Berkley Publishing Group
1261	0451163494	The Key to Rebecca	Ken Follett	1989	Signet Book
1262	0425157164	Shadows of Steel	Dale Brown	1997	Berkley Publishing Group
1263	0449221482	J Is for Judgment	Sue Grafton	1999	Fawcett Books
1264	0316154067	Void Moon	Michael Connelly	1999	Little, Brown
1265	0312958455	The Last Coyote (Last Coyote)	Michael Connelly	1996	St. Martin's Press
1266	0515120863	Killing Critics (Kathleen Mallory Novels (Paperback))	Carol O'Connell	1997	Jove Books
1267	0553279912	A Is for Alibi (Kinsey Millhone Mysteries (Paperback))	SUE GRAFTON	1987	Bantam
1268	0345353145	Sphere	MICHAEL CRICHTON	1988	Ballantine Books
1269	0553348973	Still Life with Woodpecker	TOM ROBBINS	1990	Bantam
1270	0446516538	Slow Waltz in Cedar Bend	Robert James Waller	1993	Warner Books
1271	0440214041	The Pelican Brief	John Grisham	1993	Dell
1272	0679446486	Airframe	Michael Crichton	1996	Alfred A. Knopf
1273	0802116825	Death of a River Guide	Richard Flanagan	2001	Grove Press
1274	0525945040	The Other Side and Back: A Psychic's Guide to Our World and Beyond	Sylvia Browne	1999	Penguin Putnam
1275	0743400720	The Camino	Shirley MacLaine	2000	Atria
1276	0553274384	Don't Fall Off the Mountain	Shirley MacLaine	1985	Bantam Books
1277	0440108268	The Bridge Across Forever	Richard Bach	1986	Dell
1278	0440204321	A Gift of Wings	Richard Bach	1989	Dell
1279	044020562X	One	Richard Bach	1989	Dell
1280	0446676489	The Secret of Shambhala : In Search of the Eleventh Insight	James Redfield	2001	Warner Books
1281	0694524638	Invitation	Oriah Mountain Dreamer	2000	HarperAudio
1282	067084487X	The Stinky Cheeseman and Other Fairly Stupid Tales (Caldecott Honor Book)	Jon Scieszka	1993	Viking Books
1283	0821211226	Portfolios of Ansel Adams	Ansel E. Adams	1981	Bulfinch Press
1284	1577311868	Developing Intuition: Practical Guidance for Daily Life	Shakti Gawain	2001	New World Library
1285	0030020786	Principles of Instrumental Analysis	Douglas A. Skoog	1997	Brooks Cole
1286	0786861320	The Wall Street Journal Lifetime Guide to Money : Strategies for Managing Your Finances	Staff of the Wall St Journal	1997	Hyperion
1287	0671519751	Thirty Five Thousand Plus Baby Names: The Largest Selection of Popular and Unusual Names from Around the World	Bruce Lansky	1995	Meadowbrook
1288	0345337662	Interview with the Vampire	Anne Rice	1993	Ballantine Books
1289	0345351525	The Queen of the Damned (Vampire Chronicles (Paperback))	Anne Rice	1993	Ballantine Books
1290	0553205587	Lord God Made Them All	James Herriot	1982	Bantam Doubleday Dell
1291	0449003787	\O\ Is for Outlaw	SUE GRAFTON	2001	Ballantine Books
1292	0867202076	Organic Chemistry	Marye Anne Fox	1994	Jones &amp
1293	0965921506	In-Home Child Care: A Step-By-Step Guide to Quality, Affordable Care	Debra K., Dr. Shatoff	1998	Family CareWare, Inc.
1294	0385265700	The Book of Ruth (Oprah's Book Club (Paperback))	Jane Hamilton	1990	Anchor
1295	0156935805	Virginia Woolf: A Biography	Quentin Bell	1974	Harvest Books
1296	0452281296	In the Cut	Susanna Moore	1999	Plume Books
1297	1573229326	How to Be Good	Nick Hornby	2002	Riverhead Books
1298	038072930X	Turbulent Souls: : A Catholic Son's Return To His Jewish Family	Stephen J. Dubner	1999	Perennial
1299	068484270X	The HEALING OF AMERICA	Marianne Williamson	1997	Simon &amp
1300	0316754315	The Morning After: Sex, Fear, and Feminism on Campus	Katie Roiphe	1993	Little Brown &amp
1301	0151003394	Africans in America: AMERICAN (AMERI)ca's Journey through Slavery	Charles Johnson	1998	Harcourt
1302	0060923717	Love in Black and White: The Triumph of Love over Prejudice and Taboo	Mark Mathabane	1993	HarperCollins
1303	0440224772	Mirror Image	Danielle Steel	1999	Dell Publishing Company
1304	0345406036	The Shelter of Each Other: Rebuilding Our Families	Mary Bray Pipher	1997	Ballantine Books
1305	0345421825	The First Immortal	James L. Halperin	1998	Del Rey Books
1306	0525440631	Monster Movers	George Ancona	1983	Penguin USA
1307	0373805217	A Careful Wife	Lindsay Armstrong	2002	Harlequin
1308	0373123523	The Parisian Playboy   In Love With Her Boss	Helen Brooks	2003	Harlequin
1309	0380896931	Tender Is the Storm	Johanna Lindsey	1985	Avon
1310	0971942315	The Greatest Discovery	Chris Sorensen	2003	Pond Publishing
1311	3455059554	Der Fisch lernt fliegen. Unterwegs durch die Jahre.	Erika Pluhar	2000	Hoffmann &amp
1312	844140898X	Fronteras de Lo Imposible	Iker Jimenez	2001	Edaf
1313	0739307312	The Da Vinci Code	DAN BROWN	2003	Random House Audio
1314	0812090284	2001 Spanish and English Idioms/2001 Modismos Espanoles E Ingleses: 2001 Modismos Espanoles E Ingleses	Eugene, Ph.D. Savaiano	1995	Barron's Educational Series
1315	0553295977	Carnal Innocence	Nora Roberts	1992	Bantam Books
1316	0380470845	The Fulfillment	LaVyrle Spencer	1979	Avon
1317	0380715309	Mattimeo (Redwall, Book 3)	Brian Jacques	1998	Avon Books
1318	0553291025	If I Should Die	Judith Kelman	1993	Bantam Books
1319	0812549295	The Wood Wife (Tor Fantasy)	Terri Windling	1997	Tor Books
1320	0671739778	Lost Lady	Jude Deveraux	1991	Pocket
1321	0679770232	Italy in Mind: An Anthology (Vintage Departures)	Alice Leccese Powers	1997	Vintage Books USA
1322	0440212723	Cold Sassy Tree	Olive Ann Burns	1992	Bantam Doubleday Dell
1323	0061054267	Ancient Shores	Jack McDevitt	1996	Eos
1324	0553276735	No Comebacks: Collected Short Stories	Frederick Forsyth	1983	Bantam Books
1325	0380720191	The List of 7	Mark Frost	1994	Avon
1326	0380898179	So Worthy My Love	Kathleen E. Woodiwiss	1989	Harpercollins
1327	0345314247	Blue Adept (Apprentice Adept (Paperback))	Piers Anthony	1982	Ballantine Books
1328	0060955775	Veronika Decides to Die	Paulo Coelho	2001	Perennial
1329	0679723374	Manifold Destiny: The One! the Only! Guide to Cooking on Your Car Engine	Chris Maynard	1989	Villard Books
1330	0441225691	Falcon	Emma Bull	1989	Ace Books
1331	0679745963	The Man on the Balcony: The Story of a Crime (Vintage Crime/Black Lizard)	Maj Sjowall	1993	Vintage Books USA
1332	068486780X	Between Silk and Cyanide: A Codemaker's War, 1941-1945	Leo Marks	2000	Free Press
1333	0671010115	GONE FISHIN : Featuring an Original Easy Rawlins Short Story \Smoke\ (Easy Rawlins Mysteries (Paperback))	Walter Mosley	1998	Pocket
1334	0671004549	You Belong To Me	Mary Higgins Clark	1999	Pocket Books
1335	0375509283	The Threatening Storm: The Case for Invading Iraq	Kenneth M. Pollack	2002	Random House
1336	0312422601	Blue Latitudes : Boldly Going Where Captain Cook Has Gone Before	Tony Horwitz	2003	Picador
1337	0802139256	Peace Like a River	Leif Enger	2002	Grove Press
1338	0553565915	Embraced by the Light	Betty J. Eadie	1994	Bantam Books
1339	055356160X	Cry Wolf	TAMI HOAG	1993	Bantam
1340	0439240700	The Power of Two (T*Witches, No 1)	H. B. Gilmour	2001	Apple
1341	0345317580	Magic Kingdom for Sale - Sold! (Magic Kingdom of Landover)	Terry Brooks	1990	Del Rey Books
1342	0345335287	The Black Unicorn (Magic Kingdom of Landover Novel)	Terry Brooks	1990	Del Rey Books
1343	0345362276	Wizard at Large (Rookies Series)	Terry Brooks	1989	Del Rey Books
1344	0373512066	Sweet Enemy	Diana Palmer	2002	Silhouette
1345	0486270718	The Invisible Man (Dover Thrift Editions)	H. G. Wells	1992	Dover Publications
1346	0140022651	Journey to the Center of the Earth	Jules Verne	1965	Penguin Books
1347	1558504184	Bradymania!: Everything You Always Wanted to Know - And a Few Things You Probably Didnt (25th Anniversary Edition)	Elizabeth Moran	1995	Adams Media Corporation
1348	0590629778	The Invasion (Animorphs, No 1)	K. A. Applegate	1996	Scholastic
1349	059046678X	The Yearbook	Peter Lerangis	1994	Scholastic
1350	0451077237	Farrah : An Unauthorized Biography of Farrah Fawcett-Majors	Patricia Burstein	1977	Signet Books
1351	0345283929	Empire Strikes Back Wars	Donald F Glut	1980	Ballantine Books
1352	068808527X	Close Friends	Peter Jenkins	1989	Harpercollins
1353	0898863538	A Hiker's Companion: 12,000 Miles of Trail-Tested Wisdom	Cindy Ross	1993	Mountaineers Books
1354	0515134384	The Cat Who Went Up the Creek	Lilian Jackson Braun	2003	Jove Books
1355	051512463X	The Cat Who Sang for the Birds (Cat Who... (Paperback))	Lilian Jackson Braun	1999	Jove Books
1356	0671529714	HIGH TIDE FEAR STREET SUPERCHILLER 12	R.L. Stine	1997	Simon Pulse
1357	0671001868	BODY SWITCHERS FROM OUTER SPACE: R L STINE'S GHOSTS OF FEAR STREET #14 (GHOSTS OF FEAR STREET)	R.L. Stine	1996	Aladdin
1358	0671802283	JUDY GARLAND	Anne E. Edwards	1975	Pocket
1359	0590629786	The Visitor (Animorphs, No 2)	K. A. Applegate	1996	Scholastic
1360	0590629794	The Encounter (Animorphs , No 3)	K. A. Applegate	1996	Scholastic
1361	0439164567	Shipwreck (Island, Book 1)	Gordon Korman	2001	Hyperion Books for Children
1362	0590448595	Karen's School Trip (Baby-Sitters Little Sister, 24)	Ann M. Martin	1992	Scholastic Paperbacks (Mm)
1363	0590448323	Karen's Doll (Baby-Sitters Little Sister, 23)	Ann M. Martin	1991	Scholastic
1364	0590448315	Karen's Pen Pal (Baby-Sitters Little Sister, 25)	Ann M. Martin	1992	Scholastic
1365	0553295691	The Christie Caper	Carolyn G. Hart	1999	Bantam
1366	0553562754	Southern Ghost	Carolyn G. Hart	1996	Bantam Books
1367	0515120618	Montana Sky	Nora Roberts	2000	Jove Books
1368	0971766711	A Thousand Country Roads: An Epilogue to The Bridges of Madison County	Robert James Waller	2002	John M. Hardy
1369	0201731355	Macromedia Dreamweaver 4: Training from the Source	Khristine Page	2001	Macromedia Press
1370	1551668424	Fifth Daughter	Elaine Coffman	2001	Mira
1371	0553583077	To Kiss a Spy (Get Connected Romances)	JANE FEATHER	2003	Bantam
1372	0804119740	Lady of Desire	Gaelen Foley	2003	Ivy Books
1373	0446611107	The Rogue	Claire Delacroix	2002	Warner Books
1374	1551669463	The Italian	Elaine Coffman	2002	Mira
1375	0821772252	Scrooge Wore Spurs	Janet Dailey	2002	Kensington Publishing Corporation
1376	0060009241	See Jane Score (Avon Romance)	Rachel Gibson	2003	Avon
1377	0380819619	The Ring on Her Finger (Avon Romance)	Elizabeth Bevarly	2002	Avon
1378	1551668521	Reckless Encounter	Rosemary Rogers	2001	Mira
1379	0312989202	Finding You/Knowing You : Two Brand-New Novels For One Wonderful Price! (Candellano Family Trilogy)	Maureen Child	2003	St. Martin's Paperbacks
1380	0451208293	Impostress (Signet Historical Romance)	Lisa Jackson	2003	Signet Book
1381	084395051X	Savage Destiny (Savage)	Cassie Edwards	2003	Leisure Books
1382	0843950676	Texas Bride (Leisure Historical Romance)	Leigh Greenwood	2002	Leisure Books
1383	0060002050	On a Wicked Dawn (Cynster Novels)	Stephanie Laurens	2002	Avon Books
1384	0373123213	The Italian's Trophy Mistress  (Mistress To A Millionaire)	Diana Hamilton	2003	Harlequin
1385	1551666855	The Love Knot	Rebecca Brandewyne	2003	Mira
1386	0451208412	Racing Moon	Cassie Edwards	2003	Signet Book
1387	0312989431	Deadly Caress (A Francesca Cahill Romance)	Brenda Joyce	2003	St. Martin's Paperbacks
1388	0446611298	Seduced	Pamela Britton	2003	Warner Forever
1389	0380812975	Untie My Heart	Judith Ivory	2002	Avon
1390	0345447174	Midnight Confessions	CANDICE PROCTOR	2002	Ivy Books
1391	0804119953	The Ways of Grace	Linda Francis Lee	2002	Ivy Books
1392	0553583905	Kingdom Of Moonlight	Josie Litton	2002	Bantam Books
1393	0373292228	Married By Midnight (Harlequin Historical, No. 622)	Judith Stacy	2002	Harlequin
1394	0743436830	River Road (Ross, Joann. Callahan Brothers Trilogy, 2.)	JoAnn Ross	2002	Pocket
1395	1551668920	A Season Of Miracles	Heather Graham	2002	Mira
1396	0060001445	Her Highness, My Wife	Victoria Alexander	2002	Avon
1397	0451206754	Must Be Magic	Patricia Rice	2002	Signet Book
1398	0440236401	The Temptress (The Bride Quest)	Claire Delacroix	2001	Dell Publishing Company
1399	038081479X	Heart of a Warrior	Johanna Lindsey	2002	Avon
1400	0843949635	Savage Moon	Cassie Edwards	2002	Leisure Books
1401	0843949724	Texas Homecoming (Night Riders)	Leigh Greenwood	2002	Leisure Books
1402	0821771205	The Mating Game (Zebra Contemporary Romance)	Melanie George	2002	Kensington Publishing Corporation
1403	0440235960	Romancing Riley	Connie Lane	2002	Dell Publishing Company
1404	0440224055	Silent Honor	Danielle Steel	1997	Dell
1405	0140255087	The Snow Leopard (Penguin Nature Classics)	Peter Matthiessen	1996	Penguin Books
1406	0684866048	Move Your Stuff, Change Your Life : How to Use Feng Shui to Get Love, Money, Respect and Happiness	Karen Rauch Carter	2000	Fireside
1407	0446400688	Death and the Joyful Woman	Ellis Peters	1995	Warner Books
1408	0962455741	Preserving Family Lands, Book I	Stephen J. Small	1998	Landowner Planning Center
1409	0441000312	Salamandastron (Redwall, Book 5)	Brian Jacques	1994	Ace Books
1410	0515118249	The Cat Who Blew the Whistle	Lilian Jackson Braun	1996	Jove Books
1411	0743456823	The Lives of Dax (Star Trek: Deep Space Nine)	Marco Palmieri	2002	Star Trek
1412	0312311354	The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945	Wladyslaw Szpilman	2002	Picador
1413	0671743562	Dreams of the Raven (Star Trek, No 34)	Carmen Carter	1991	Star Trek
1414	0743262174	Cry, the Beloved Country (Oprah's Book Club)	Alan Paton	2003	Scribner
1415	0515130389	Carolina Moon	Nora Roberts	2001	Jove Books
1416	080411935X	Standing in the Rainbow	FANNIE FLAGG	2003	Ballantine Books
1417	0142004235	East of Eden (Oprah's Book Club)	John Steinbeck	2003	Penguin Books
1418	0515135062	Three Fates	Nora Roberts	2004	Jove Books
1419	0595197124	The Courtship Dance of the Borderline	Anthony, Md. Walker	2001	Writer's Showcase Press
1420	1563524317	Down on Ponce: A Novel	Fred Willard	1997	Longstreet Press
1421	3442429439	Die geheime Geschichte.	Donna Tartt	1995	Goldmann
1422	0061056774	The X-Files: Ground Zero	Kevin J. Anderson	1996	HarperEntertainment
1423	0425169693	Here on Earth (Oprah's Book Club)	Alice Hoffman	1999	Berkley Publishing Group
1424	0452269571	Bastard Out of Carolina	Dorothy Allison	1993	Plume Books
1425	051513287X	Face the Fire (Three Sisters Island Trilogy)	Nora Roberts	2002	Jove Books
1426	0618002219	The Hobbit: or There and Back Again	J.R.R. Tolkien	1999	Houghton Mifflin Company
1427	0553576399	Distraction: A Novel	Bruce Sterling	1999	Spectra Books
1428	0451458370	Alien Taste (Roc Science Fiction)	Wen Spencer	2001	Roc
1429	0441374239	Islands in the Net	Bruce Sterling	1989	Ace Books
1430	0887307884	Dogbert's Top Secret Management Handbook	Scott Adams	1996	HarperCollins Publishers
1431	0252068505	Hollywood Speaks: Deafness and the Film Entertainment Industry	John S. Schuchman	1999	University of Illinois Press
1432	0671721046	The Deed of Paksenarrion	Elizabeth Moon	1992	Baen
1433	0441117732	Count Zero (Ace Science Fiction)	William Gibson	1987	Ace Books
1434	0553576429	A Good Old-Fashioned Future: Stories	Bruce Sterling	1999	Spectra Books
1435	0886776155	When True Night Falls (Coldfire Trilogy, Book 2)	C.S. Friedman	1994	Daw Books
1436	055357549X	Holy Fire: A Novel (Bantam Spectra Book)	Bruce Sterling	1997	Bantam Books
1437	0553373803	The Fifth Sacred Thing	Starhawk	1994	Bantam
1438	0060392452	Stupid White Men ...and Other Sorry Excuses for the State of the Nation!	Michael Moore	2002	Regan Books
1439	1568650418	The Elric Saga PT. II	Michael Moorcock	1984	Doubleday Books
1440	0671877283	Silverlight: The Arcana, Book II (Arcana/Morgan Llywelyn, Bk 2)	Morgan Llywelyn	1996	Baen
1441	0930878132	Guide to Korean Characters: Reading and Writing Hangul and Hanja	Bruce K. Grant	1987	Weatherhill Inc.
1442	0446532231	Dude, Where's My Country?	Michael Moore	2003	Warner Books
1443	0806511605	Fairy-Faith in Celtic Countries (Library of the Mystic Arts)	W. Y. Evans-Wentz	1990	Citadel Press
1444	0875424961	The 21 Lessons of Merlyn: A Study in Druid Magic and Lore	Douglas Monroe	1992	Llewellyn Publications
1445	0380789116	The Queen's Necklace	Teresa Edgerton	2001	Eos
1446	2742702458	La Virevolte	Nancy Huston	1999	Actes Sud
1447	0141002077	Cherry: A Memoir	Mary Karr	2001	Penguin Books
1448	0394757653	The Simple Art of Murder (Vintage Crime)	RAYMOND CHANDLER	1988	Vintage
1449	0898655293	Myth-Nomers and Im-Pervections	Robert Asprin	1987	Donning Company Publishers
1450	0831750065	In Praise of Cats	Smithmark Publishing	1992	Smithmark Pub
1451	0449702936	Sons from Afar	Cynthia Voigt	1988	Fawcett Books
1452	0449702545	Homecoming	Cynthia Voigt	1990	Fawcett Books
1453	0156005778	Mister Sandman (Harvest Book)	Barbara Gowdy	1998	Harvest Books
1454	0375727434	Hateship, Friendship, Courtship, Loveship, Marriage : Stories	Alice Munro	2002	Vintage
1455	1550223968	Too Close to the Falls: A Memoir	Catherine Gildiner	1999	Independent Pub Group
1456	0312291639	The Nanny Diaries: A Novel	Emma McLaughlin	2003	St. Martin's Griffin
1457	014043187X	The Picture of Dorian Gray (Penguin Classic)	Oscar Wilde	1985	Penguin Books
1458	0425101452	Phantoms	Dean R. Koontz	1996	Berkley Publishing Group
1459	0192816489	No Name (World's Classics)	William Wilkie Collins	1987	Oxford University Press
1460	1401068049	Revelation and the Fall of Judea	Maurice A. Williams	2002	Xlibris Corporation
1461	3423350024	Der Wahnsinn der NormalitÃ?Â¤t.	Arno Gruen	1989	Dtv
1462	0486251772	Adventures at Sea in the Great Age of Sail: Five Firsthand Narratives	Elliot Snow	1986	Dover Publications
1463	0451207580	Who Left That Body in the Rain? (Thoroughly Southern Mysteries)	Patricia Sprinkle	2002	Signet Book
1464	0316168688	The Dogs of Babel (Today Show Book Club #12)	Carolyn Parkhurst	2003	Little, Brown
1465	0452264790	Tar Baby	Toni Morrison	1987	Plume Books
1466	0679448802	Gone Bamboo	Anthony Bourdain	1997	Random House Inc
1467	0380561433	God Herself: Feminine Roots of Astrology	Geraldine Thorsten	1981	Harper Mass Market Paperbacks (Mm)
1468	0553240307	Sudden Death	Rita Mae Brown	1984	Bantam Doubleday Dell
1469	3257229534	Der Vorleser	Bernhard Schlink	1999	Diogenes Verlag AG
1470	0553144286	Lord Valentine's castle	Robert Silverberg	1981	Bantam Books
1471	0440241537	The King of Torts	JOHN GRISHAM	2003	Dell
1472	034538475X	The Tale of the Body Thief (Vampire Chronicles (Paperback))	Anne Rice	1993	Ballantine Books
1473	0671004247	Treaty's Law (Star Trek: Day of Honor, Book 4)	Kristine Kathryn Rusch	1997	Star Trek
1474	0671002406	Her Klingon Soul (Star Trek Voyager: Day of Honor, Book 3)	Michael Jan Friedman	1997	Star Trek
1475	055327418X	Startide Rising (The Uplift Saga, Book 2)	David Brin	1993	Spectra Books
1476	0345419995	Dave Barry's Greatest Hits	Dave Barry	1997	Ballantine Books
1477	0345388674	The Total Zone (Jordan Myles Mysteries)	Martina Navratilova	1995	Fawcett Books
1478	0425098648	Night Chills	Dean R. Koontz	1996	Berkley Publishing Group
1479	0061008427	Pacific Blues	Stephen Smoke	1996	Harper Mass Market Paperbacks (Mm)
1480	0786001690	Tattoo	Dale Banks	1995	Pinnacle Books
1481	0451153553	Misery	Stephen King	1988	New Amer Library
1482	0142001805	The Eyre Affair: A Novel	Jasper Fforde	2003	Penguin Books
1483	0380014033	Lord of Light	Roger Zelazny	1969	Eos
1484	0553277839	Faerie Tale	Raymond E. Feist	1989	Bantam
1485	0375706062	Lying Awake	Mark Salzman	2001	Vintage Books USA
1486	0060981180	Mariette in Ecstasy	Ron Hansen	1992	Perennial
1487	0061051098	The Iron Lance (The Celtic Crusades, Book 1)	Stephen R. Lawhead	2000	HarperCollins
1488	0425147622	The Body Farm	Patricia Daniels Cornwell	1995	Berkley Publishing Group
1489	0451180410	Mortal Fear	Greg Iles	1998	Signet Book
1490	0425143341	Curfew	Phil Rickman	1994	Berkley Publishing Group
1491	0446360856	The Gold Coast	Nelson DeMille	1991	Warner Books
1492	1593100825	Highland Legacy: Four Generations of Love Are Rooted in Scotland	Tracey V. Bateman	2004	Barbour Publishing
1493	0373791429	A Burning Obsession (Blaze)	Susan Kearney	2004	Harlequin
1494	0964894203	Secrets, Vol. 1	Alice Gaines	1995	Red Sage Publishing,Inc
1495	0778320227	Edge of Twilight	Maggie Shayne	2004	Mira Books
1496	0553582763	By the Light of the Moon	DEAN KOONTZ	2003	Bantam
1497	0425188809	Watchers	Dean R. Koontz	2003	Berkley Publishing Group
1498	0425092178	Strangers	Dean R. Koontz	1986	Penguin Putnam~mass
1499	0345384369	Intensity	DEAN KOONTZ	1996	Ballantine Books
1500	034539657X	Dark Rivers of the Heart	Dean R. Koontz	1995	Ballantine Books
1501	0020532105	CRY THE BELOVED COUNTRY (Scribner Classic)	Alan Paton	1987	Scribner
1502	0671623931	GOOD EARTH	Gordon Buck	1987	Pocket
1503	0345468392	The Chronicles of Riddick	ALAN DEAN FOSTER	2004	Del Rey
1504	0743493540	Van Helsing	Kevin Ryan	2004	Pocket Star
1505	0425144569	For All Eternity	Linda Lael Miller	1994	Berkley Publishing Group
1506	0821764462	Precious Passion (Zebra Splendor Historical Romances)	Elizabeth Doyle	1999	Zebra Books
1507	0486290492	Sense and Sensibility (Dover Thrift Editions)	Jane Austen	1995	Dover Publications
1508	156619301X	Dracula	Bram Stoker	1994	Dorset Press
1509	0399144137	Rainbow Six	Tom Clancy	1998	Putnam Publishing Group
1510	0330352253	To the Hilt	Dick Francis	1997	Pan Publishing
1511	0609600567	Road Rage	Ruth Rendell	1997	Random House Inc
1512	0394756827	Godel, Escher, Bach: An Eternal Golden Braid	Douglas R. Hofstadter	1989	Vintage Books USA
1513	0300069049	Cosima Wagner's Diaries: An Abridgement	Cosima Wagner	1997	Yale University Press
1514	0312186754	An Arrow's Flight	Mark Merlis	1998	St Martins Pr
1515	080901548X	The Dark Child : The Autobiography of an African Boy	Camara Laye	1954	Farrar, Straus and Giroux
1516	0312275560	The Path of Minor Planets : A Novel	Andrew Sean Greer	2001	Picador
1517	0395874653	Kaleidoscope Readings in Education	K. Ryan	1997	Houghton Mifflin College
1518	0375706771	Midwives: A Novel	Chris Bohjalian	1998	Vintage
1519	0451525078	Don Quixote of LA Mancha	Miguel de Cervantes Saavedra	1990	Signet Classics
1520	0553213601	Cyrano De Bergerac (Bantam Classics)	EDMOND ROSTAND	1950	Bantam
1521	0679745580	In Cold Blood (Vintage International)	TRUMAN CAPOTE	1994	Vintage
1522	0679741410	Writers Dreaming: 26 Writers Talk About Their Dreams and the Creative Process	Naomi Epel	1994	Vintage Books USA
1523	0812533550	Ender's Game (Ender Wiggins Saga (Paperback))	Orson Scott Card	1986	Tor Books
1524	0020442602	Voyage of the Dawn Treader	C. S. Lewis	1970	MacMillan Publishing Company.
1525	0312978367	The Prometheus Deception	Robert Ludlum	2001	St. Martin's Press
1526	038079893X	Coronado Conspiracy	George Galdorisi Captain	1998	Avon
1527	0425177696	The Passenger	Patrick A. Davis	2000	Berkley Publishing Group
1528	0812517725	The Great Hunt (The Wheel of Time, Book 2)	Robert Jordan	1991	Tor Fantasy
1529	0380818191	Truth, The	Terry Pratchett	2001	HarperTorch
1530	9721013412	Os Maias	Eca de Queiros	0	Publicacoes Europa-America
1531	0316037443	The Best Cat Ever	Cleveland Amory	1993	Little Brown &amp
